index,record_id,题目,选项,答案,难度,图片来源,数据类型,图片结构描述,图片类型,local_images
79,recvnmunMObZYV,图中字母所标识的点中，哪个点的空间位置是最高的？,"A. R
B. P
C. U
D. Q",B,L1,网络,SE0 X GQ2,四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0079_recvnmunMObZYV_1_img_v3_0212u_714a1978-b559-448d-b2f2-6c5.jpg
80,recvnmunMOa8p4,在该组合体的顶点中，哪个点位于画面中的最靠右的位置？,"A. R
B. P
C. D
D. K",D,L1,网络,SE0 X GQ2,四棱锥与三棱锥的组合体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0080_recvnmunMOa8p4_1_image.png
81,recvnmunMOCx3Q,图中点P到其他三个字母点之间的距离，哪个最短？,"A. 点P到点E的距离最短
B. 点P到点F的距离最短
C. 点P到点G的距离最短
D. 点P到其他三个字母点的距离长度都一样",C,L3,网络,SE1 X GQ5,截角多面体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0081_recvnmunMOCx3Q_1_image.png
82,recvnmunMObTY4,观察图中所有的几何图形，总共有多少个面是四边形？,A.14 B.11 C.13 D.15,A,L2,网络,SE2XGQ1,四棱锥、五棱柱、五棱台,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0082_recvnmunMObTY4_1_image.png
83,recvnmunMOVAor,求线段AC长多少？,A.5 B.12 C.13 D.6√5,C,L2,网络,SE1 X GQ4,三棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0083_recvnmunMOVAor_1_20260623-172914.png
84,recvnmunMOnk2u,这是一个正四棱台，红色线段长多少？,A.5 B.10 C.12 D.5√3,A,L1,网络,SE1 X GQ4,正四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0084_recvnmunMOnk2u_1_image.png
85,recvnmunMOCWVj,三角形ABE是等腰三角形，请问AE的长度是？,A.5 B.7 C.3√5 D.5√3,A,L1,网络,SE1 X GQ4,十面体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0085_recvnmunMOCWVj_1_img_v3_0212u_b5a67c65-7443-4c36-9f04-a70.png
86,recvnmunMO64L7,将图中的三条彩色线按长度从长到短排序，哪个选项的排序是正确的？,"A. 黄、绿、蓝
B. 蓝、黄、绿
C. 绿、蓝、黄
D. 蓝、绿、黄",D,L2,网络,SE1 X GQ5,五棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0086_recvnmunMO64L7_1_image.png
87,recvnmuppMlFJy,点F属于哪一类几何点位？,"A. 棱的中点
B. 该内切球的球心
C. 正方体的顶点
D. 侧面上的普通点",B,L1,网络,SE0 X GQ3,正方体内切球体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0087_recvnmuppMlFJy_1_image.png
88,recvnmupYphjDk,比较图中线段QP、QS、QT之间的距离，哪个最长？,"A. 线段QP最长
B. 线段QS最长
C. 线段QT最长
D. 都一样长",B,L3,网络,SE1 X GQ5,六棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0088_recvnmupYphjDk_1_image.png
89,recvnmupYpzArA,图中哪条线段是这个棱柱的底棱？,"A. MP
B. MN
C. MQ
D. MF",B,L1,网络,SE1 X GQ2,五棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0089_recvnmupYpzArA_1_image.png
90,recvnmupYpB493,该图中唯一深色截面处于哪个位置？,"A.中间
B.下方
C.左侧
D.右侧",A,L1,网络,SE2 X GQ2,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0090_recvnmupYpB493_1_image.png
91,recvnmupYpp3vX,几何体绿色的面实际是什么形状？,"A.正方形
B.平行四边形
C.梯形
D.菱形",A,L2,网络,SE2 X GQ3,正四棱台,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0091_recvnmupYpp3vX_1_image.png
92,recvnmupYp7CXP,橙色截面的实际形状是什么？,"A. 圆形
B. 拱形
C. 正六边形
D. 椭圆形",D,L2,网络,SE2 X GQ3,圆锥截面,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0092_recvnmupYp7CXP_1_image.png
93,recvnmupYpThbu,观察图中所有的立体图形，数一数总共有多少个面（不包含立方体内截面）？,A.9 B.11 C.13 D.10,D,L1,网络,SE2XGQ1,三棱柱、四棱锥,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0093_recvnmupYpThbu_1_image.png
94,recvnmupYp7Gl6,比较图中各点的位置高低，以下哪项说法正确？,"A.点Q高于点S
B.点S低于点D
C.点M高于点F
D.点G低于点S",D,L2,网络,SE0 X GQ5,斜棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0094_recvnmupYp7Gl6_1_image.png
95,recvnmupYpnmaP,比较图中各点到点T的距离，下列哪项是正确的？,"A.点H到点T的距离大于点M到点T的距离
B.点H到点T的距离等于点M到点T的距离
C.点G到点T的距离小于点M到点T的距离
D.点M到点T的距离等于点G到点T的距离",C,L3,网络,SE0 X GQ5,四棱锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0095_recvnmupYpnmaP_1_image.png
96,recvnmupYpEiNE,关于图中各标记点高度比较的描述，哪项陈述是正确的？,"A.点K低于其他所有标记点
B.点D高于点S
C.点K低于点E
D.点E低于点Q",D,L2,网络,SE0 X GQ5,四棱锥和三棱锥,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0096_recvnmupYpEiNE_1_image.png
97,recvnmupYpTY8Z,观察图中点B位置判断其属于哪类空间点。,"A. 顶点

B. 面中心

C. 棱中点

D. 体中心",C,L2,网络,SE0 X GQ3,八面体嵌入正方体,多体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0097_recvnmupYpTY8Z_1_image.png
98,recvnmupYpF1zg,哪个选项中的线段是图中这个立体图形的面对角线？,"A. EX
B. EY
C. EZ
D. ED",B,L3,网络,SE1 X GQ2,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0098_recvnmupYpF1zg_1_image.png
99,recvnmupYpR7JJ,图中哪条线段是这个圆锥的高？,"A. AB
B. SB
C. AD
D. SD",D,L2,网络,SE1 X GQ2,圆锥,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0099_recvnmupYpR7JJ_1_image.png
100,recvnmupYpFYuj,红色线段长多少?,A.4 B.8 C.4√2 D.4√3,C,L2,网络,SE1 X GQ4,正方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0100_recvnmupYpFYuj_1_20260622-180620.png
101,recvnmupYp0RNj,根据该图，在所有标有字母的点中，哪一个点是最左边的？,"A. N
B. D
C. G
D. A",A,L2,网络,SE0 X GQ2,圆柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0101_recvnmupYp0RNj_1_image.png
102,recvnmupYpl4iG,红色线段长为多少？,A.5 B.10 C.13 D.5√13,B,L1,网络,SE1 X GQ4,正四棱柱,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0102_recvnmupYpl4iG_1_image.png
103,recvnmupYprVcg,这个立体图形可见的黄色面共有多少个？,A.1 B.2 C.5 D.3,D,L1,网络,SE2XGQ1,截角截半立方体,单体,/home/qizhangyang/.kitty/workspaces/s_14b8ad0c/feishu_downloads/立体几何数据交付情况_批量试标数据查看/images/0103_recvnmupYprVcg_1_image.png
